iter	F1	Logloss
225	0.6516620261	0.6403109404
226	0.651697754	0.6402729458
227	0.6517298046	0.6402210058
228	0.6517967249	0.6401651524
229	0.6520533111	0.6399058077
230	0.652097504	0.6398544368
231	0.6521517747	0.6398084734
232	0.6521839085	0.6397674906
233	0.6521969865	0.639716262
234	0.6521689613	0.6396587722
235	0.6522464064	0.6396197815
236	0.6525076535	0.6393971507
237	0.6525118011	0.6393647059
238	0.6526617926	0.6392892149
239	0.6527601721	0.6392510069
240	0.6527283314	0.6392101664
241	0.6527648859	0.6391676893
242	0.6528500749	0.6391265642
243	0.6528759436	0.6390845852
244	0.6528701555	0.6390460926
245	0.6529547852	0.638984476
246	0.6529689783	0.6389402914
247	0.6528873055	0.6388955375
248	0.6529004474	0.6388571161
249	0.6529310778	0.6387977763
250	0.6529337952	0.6387634817
251	0.6529071079	0.6387236372
252	0.6529993941	0.6386859273
253	0.6530702584	0.6386522018
254	0.6530718381	0.6386184763
255	0.6530860457	0.6385649709
256	0.6532938481	0.6383546492
257	0.6532638692	0.6383165123
258	0.6535191044	0.6381092501
259	0.6537542134	0.6379065414
260	0.6539591649	0.6378669816
261	0.6539680083	0.6378341099
262	0.6540898079	0.6376925198
263	0.6540870769	0.6376434969
264	0.6541593225	0.6376002372
265	0.6541604515	0.6375684328
266	0.6542059289	0.6375289441
267	0.6542954352	0.6374755099
268	0.6543033434	0.6374419979
269	0.6543516569	0.6373672184
270	0.6543617165	0.6373327102
271	0.654367342	0.6373016885
272	0.654366549	0.63726654
273	0.6544097734	0.6372360875
274	0.6544370252	0.6370599181
275	0.6544207448	0.6370136701
276	0.6544442055	0.6369685605
277	0.6545997179	0.6368498809
278	0.6547003438	0.6368096096
279	0.6548675992	0.6366382073
280	0.6550635362	0.6365158279
281	0.6551168707	0.6364816755
282	0.6550829742	0.6364292374
283	0.6550757802	0.6364004925
284	0.6550592345	0.63636015
285	0.6551381486	0.6363237919
286	0.6552142384	0.6362840186
287	0.6552217269	0.6362347111
288	0.6552697731	0.6361905265
289	0.6555655198	0.6359862525
290	0.6556264475	0.6359545193
291	0.6556511865	0.6359344547
292	0.6556854547	0.6358956776
293	0.6556231703	0.6358564023
294	0.6557286077	0.635789734
295	0.6556776242	0.6357660408
296	0.6556490656	0.6357402131
297	0.6556996273	0.635694392
298	0.6557649954	0.6356488554
299	0.6557922856	0.6356149877
300	0.6559395346	0.6355275433
301	0.6559439055	0.6354963081
302	0.6559548469	0.6354669228
303	0.6561137461	0.6352830692
304	0.6561019786	0.6352489168
305	0.6561488952	0.635212701
306	0.6560635755	0.6351754892
307	0.6560882529	0.6351474558
308	0.6561333012	0.635115936
309	0.656160255	0.6350822816
310	0.6562437474	0.635017819
311	0.6562325851	0.6349987506
312	0.6562448223	0.6349680846
313	0.6563389011	0.6348063588
314	0.6564080491	0.6347547745
315	0.6565183518	0.6346067808
316	0.6565797204	0.6345583271
317	0.6566361893	0.6345297245
318	0.6567202074	0.6345034699
319	0.6567393498	0.6344651196
320	0.6567566288	0.6344418533
321	0.6568073824	0.6342683876
322	0.6568521539	0.6342261952
323	0.6568862701	0.6342079095
324	0.6569822495	0.6341640094
325	0.6569670729	0.634129359
326	0.6570115882	0.6341013256
327	0.6570290527	0.6340728652
328	0.6570185143	0.6340429819
329	0.6570501231	0.6339870574
330	0.6571031312	0.6339525492
331	0.6571483298	0.633923164
332	0.6572100661	0.6338715796
333	0.6571318495	0.6338474595
334	0.6573061759	0.6338025634
335	0.6573249888	0.6337728223
336	0.6572320885	0.6337450735
337	0.6572736606	0.6337045176
338	0.6573149053	0.6336641751
339	0.6573757051	0.6336320861
340	0.6574116118	0.6336077525
341	0.6573580683	0.6335536067
342	0.6573576476	0.6335233676
343	0.6573877785	0.6334965438
344	0.6573644212	0.6334587627
345	0.6573886542	0.6334349983
346	0.6576746068	0.6333010925
347	0.657602776	0.6332664421
348	0.6575689861	0.6332400451
349	0.6576112694	0.6331855436
350	0.6576440045	0.6331513201
351	0.6576337447	0.6331236424
352	0.6577892985	0.6329772141
353	0.6577940056	0.6329481846
354	0.6578146194	0.6329153129
355	0.6578417588	0.63289226
356	0.6577880543	0.6328565423
357	0.6578103133	0.6328380431
358	0.6578043618	0.6328117885
359	0.65783173	0.6327800552
360	0.6578321294	0.6327642598
361	0.6578662366	0.6327128889
362	0.6578660661	0.6326955992
363	0.6578291719	0.6326687754
364	0.6578416932	0.6326411689
365	0.6578499653	0.6326196102
366	0.657933387	0.6325658913
367	0.6580222715	0.6324295664
368	0.6582322656	0.6322904666
369	0.6582507035	0.6321549243
370	0.6583865116	0.6321270332
371	0.6583445387	0.6320082825
372	0.6583662484	0.6319825971
373	0.6585141921	0.6318429992
374	0.6585660221	0.6317960397
